UserInfoID,FirstName,LastName,Email,PasswordHash,PhoneNumber,BirthDate,UserAddress,CityID,isDeleted
1,Galasso,Delle,emma10@example.com,a1cace0257c09653d1103b208a4bd25daefd45b95dcf99b94f160c8a96573379,+39 042343222,1983-12-11,"Via Cardano, 5 Appartamento 69",16,0
2,Sante,Vento,pierluigifittipaldi@example.com,b39593159d89137369589dff156413dec89e27be93e13913b2ba004c307cc4ff,37703726813,1996-02-17,"Viale Panzera, 35",4,0
3,Veronica,Tosi,rcasalodi@example.org,72c84d7bcb3edabe780d5ba069150a395d357d575f8d1ce0eda07bc67a63b13d,3773228090,1985-09-02,"Stretto Donatoni, 915",28,0
4,Giorgia,Pergolesi,solimenaantonino@example.net,a76b09858d15a5c160b340e723d742b78b1bf5b533721393d3ad9e074fada429,32318433188,1967-12-03,"Viale Mazzanti, 968 Piano 3",33,0
5,Vincenza,Gozzano,tulliofilogamo@example.org,556c99c4761842976772229ea884b0f624f3e66789cbda43acd61b367fa3e56d,044593517,1973-02-27,"Contrada Morena, 378",2,0
6,Renzo,Travaglia,riccardo11@example.net,857e61ee30c413142f48ec0319b14c62a2b8f41e5df9442df6c8fe3856669dae,+39 0931754863,1979-03-03,"Contrada Napolitano, 0",3,0
7,Silvestro,Bacosi,giadarizzo@example.net,1e1be6825860ba5ad62d580707d0f4333ed4cc2b74c6a8130f9a33306b7aad1a,088380842,1995-11-20,"Viale Riccardi, 6",20,0
8,Orlando,Fantini,grassigaspare@example.com,8a092cb5364704fd04a398dec6613e22355bfd9f4be531f191dba1e48c9f5896,+39 3636830879,1985-07-15,"Borgo Santoro, 662",42,0
9,Giampiero,Tartaglia,qberlusconi@example.com,fcd53ebe5dfbfffeaba594f8bcbd07e87afb837cfbb050fca52d5ae8c22d5f67,+39 34336521014,1990-03-17,"Viale Santi, 8 Appartamento 69",44,0
10,Mauro,Fantini,sjilani@example.org,ac20d3596f96451346c682ec84ceb2c739af7badcecac55adbae31c95a1cbe59,07374919318,1997-01-16,"Canale Rembrandt, 217",28,0
11,Natalia,Maglio,corradivittoria@example.com,d90ac71018598d4417970144dd0a4a79d03d3de74118a803ae1b92b697324233,+39 3505933142,1987-08-13,"Contrada Guarneri, 924",29,0
12,Chiara,Taccola,saracenoalderano@example.net,a94ce2712cc8e880976d8c6e8a38d679430263cfcae570a717c193fedc5600c9,379233677,2004-02-22,"Rotonda Petralli, 745 Appartamento 7",11,0
13,Ronaldo,Satriani,pertilevanessa@example.com,35a04512461a122dcc32a1de68ed027a9e44586da32406612f0432dcbb687b05,33953095409,1992-07-15,"Rotonda Ceri, 741 Appartamento 86",21,0
14,Lando,Nicolucci,matilda39@example.com,bf55c8eeed903b11b8d06d0f7a83dadd3d9b6c47a7f52adf8030bebdca051785,+39 0883979205,1996-07-18,"Borgo Bianca, 85 Piano 7",30,0
15,Angelina,Gabrieli,loretta09@example.net,d733e4a185eff7a71e96bfe72f71768e8825bd4e9d329d26002377c7d7ede4c7,+39 07841948382,1974-08-15,"Vicolo Alfio, 145 Appartamento 75",34,0
16,Donna,Tolentino,marinettiricciotti@example.org,d0cdac33006f255829552ef46cbd999c3f6c3673026dc6ba3f7b3700310aad1e,+39 093176606,1979-11-25,"Strada Giancarlo, 110 Appartamento 55",44,0
17,Rembrandt,Petrucelli,rominabertoli@example.com,ea841552745b06162760d9d0a01b71f7dc16bab93d62bb3366797c99ab9b0501,018475757,1960-05-15,"Borgo Virgilio, 35",6,0
18,Gianna,Littizzetto,criccati@example.com,b2951a243f2a0cd62a9f7af5e225ffc8701abc953cedf04c6ad799ec938c5814,+39 0957982357,2000-02-06,"Viale Pasqua, 41",13,0
