UserInfoID,FirstName,LastName,Email,PhoneNumber,BirthDate,UserAddress,CityID,isDeleted
1,Federico,Travia,dmantegazza@example.org,+39 03659130129,1978-08-13,"Contrada Tarantino, 741 Appartamento 63",21,0
2,Pasqual,Aloisio,giulio34@example.net,36881700938,1984-11-09,"Via Ossola, 19 Appartamento 60",32,0
3,Lauretta,Costalonga,virgilioannibale@example.com,034298688,1990-10-13,"Incrocio Barese, 178 Appartamento 89",12,0
4,Corrado,Bombieri,libertomonaco@example.org,+39 0862932370,1985-01-02,"Borgo Enzo, 87 Appartamento 2",13,0
5,Umberto,Innocenti,emmacattaneo@example.net,+39 0832528298,1971-12-29,"Viale Onisto, 95 Piano 5",27,0
6,Fausto,Trentini,ssandi@example.com,+39 0523745962,2006-04-26,"Stretto Francesco, 25",37,0
7,Venancio,Guarneri,sebastiano01@example.net,+39 3421210992,1988-02-13,"Strada Avogadro, 52 Piano 9",8,0
8,Piergiuseppe,Dalla,pcammarata@example.net,38308192564,1980-12-22,"Viale Nedda, 747",34,0
9,Alfredo,Vasari,dcainero@example.org,+39 04264962223,1962-09-30,"Vicolo Maria, 2",40,0
10,Pietro,Pertile,ninetta47@example.com,+39 0934712949,1988-08-07,"Viale Beatrice, 62",16,0
11,Massimo,Cremonesi,bborsellino@example.com,07612167326,2002-04-01,"Canale Gabriella, 16",40,0
12,Nicola,Renault,hugogiannelli@example.net,+39 0789869337,1982-12-18,"Strada Filippa, 9",36,0
13,Delfino,Norbiato,erika60@example.net,+39 0376704739,1972-02-06,"Borgo Osvaldo, 526",28,0
14,Elisa,Majewski,ncherubini@example.com,34025193613,1969-02-26,"Viale Livia, 8",10,0
15,Cirillo,Morgagni,guidottisimonetta@example.com,368483012,1985-07-30,"Contrada Canevascini, 262 Piano 7",21,0
16,Napoleone,Pirelli,iolandacampise@example.org,+39 09328268953,1961-10-10,"Contrada Pisano, 18",3,0
17,Bartolomeo,Antonetti,jcossiga@example.net,+39 07615034581,1969-12-24,"Rotonda Lolita, 3 Appartamento 1",24,0
18,Vittorio,Antonelli,hugodepero@example.com,079533027,1972-08-03,"Borgo Salgari, 4",4,0
19,Alessia,Torricelli,nievoosvaldo@example.org,037148911,2006-07-12,"Strada Bonomo, 7 Piano 2",45,0
20,Marina,Ruggieri,ermannozichichi@example.com,+39 09630846842,1982-02-08,"Incrocio Cirillo, 395",4,0
21,Adamo,Govoni,sandrabignami@example.com,3309327615,2001-02-07,"Contrada Leonetti, 565",15,0
